level,unit_id,module,name,questions,path,linked_pr,linked_submodule
SUBMODULE,SM-PLATFORM-01,Plataforma,"Identidade, RBAC e escopos",500,05-questionarios/05-corpus-71500/02-submodulos/PLATFORM/SM-PLATFORM-01_IDENTIDADE_RBAC_E_ESCOPOS_500_PERGUNTAS.md,PR-PLATFORM-01,
PR,PR-PLATFORM-01,Plataforma,"Identidade, RBAC e escopos",500,05-questionarios/05-corpus-71500/03-prs/PLATFORM/PR-PLATFORM-01_IDENTIDADE_RBAC_E_ESCOPOS_500_PERGUNTAS.md,,SM-PLATFORM-01
SUBMODULE,SM-PLATFORM-02,Plataforma,"Aprovações, override, auditoria e parâmetros",500,05-questionarios/05-corpus-71500/02-submodulos/PLATFORM/SM-PLATFORM-02_APROVACOES_OVERRIDE_AUDITORIA_E_PARAMETROS_500_PERGUNTAS.md,PR-PLATFORM-02,
PR,PR-PLATFORM-02,Plataforma,"Aprovações, override, auditoria e parâmetros",500,05-questionarios/05-corpus-71500/03-prs/PLATFORM/PR-PLATFORM-02_APROVACOES_OVERRIDE_AUDITORIA_E_PARAMETROS_500_PERGUNTAS.md,,SM-PLATFORM-02
SUBMODULE,SM-PLATFORM-03,Plataforma,"Documentos, OCR, busca e notificações",500,05-questionarios/05-corpus-71500/02-submodulos/PLATFORM/SM-PLATFORM-03_DOCUMENTOS_OCR_BUSCA_E_NOTIFICACOES_500_PERGUNTAS.md,PR-PLATFORM-03,
PR,PR-PLATFORM-03,Plataforma,"Documentos, OCR, busca e notificações",500,05-questionarios/05-corpus-71500/03-prs/PLATFORM/PR-PLATFORM-03_DOCUMENTOS_OCR_BUSCA_E_NOTIFICACOES_500_PERGUNTAS.md,,SM-PLATFORM-03
SUBMODULE,SM-PLATFORM-04,Plataforma,Desktop offline e sincronização,500,05-questionarios/05-corpus-71500/02-submodulos/PLATFORM/SM-PLATFORM-04_DESKTOP_OFFLINE_E_SINCRONIZACAO_500_PERGUNTAS.md,PR-PLATFORM-04,
PR,PR-PLATFORM-04,Plataforma,Desktop offline e sincronização,500,05-questionarios/05-corpus-71500/03-prs/PLATFORM/PR-PLATFORM-04_DESKTOP_OFFLINE_E_SINCRONIZACAO_500_PERGUNTAS.md,,SM-PLATFORM-04
SUBMODULE,SM-PLATFORM-05,Plataforma,"APIs, jobs, observabilidade e continuidade",500,05-questionarios/05-corpus-71500/02-submodulos/PLATFORM/SM-PLATFORM-05_APIS_JOBS_OBSERVABILIDADE_E_CONTINUIDADE_500_PERGUNTAS.md,PR-PLATFORM-05,
PR,PR-PLATFORM-05,Plataforma,"APIs, jobs, observabilidade e continuidade",500,05-questionarios/05-corpus-71500/03-prs/PLATFORM/PR-PLATFORM-05_APIS_JOBS_OBSERVABILIDADE_E_CONTINUIDADE_500_PERGUNTAS.md,,SM-PLATFORM-05
SUBMODULE,SM-COMP-01,Módulos complementares,Qualidade e certificações,500,05-questionarios/05-corpus-71500/02-submodulos/COMP/SM-COMP-01_QUALIDADE_E_CERTIFICACOES_500_PERGUNTAS.md,PR-COMP-01,
PR,PR-COMP-01,Módulos complementares,Qualidade e certificações,500,05-questionarios/05-corpus-71500/03-prs/COMP/PR-COMP-01_QUALIDADE_E_CERTIFICACOES_500_PERGUNTAS.md,,SM-COMP-01
SUBMODULE,SM-COMP-02,Módulos complementares,"Garantia, reclamação e devolução",500,05-questionarios/05-corpus-71500/02-submodulos/COMP/SM-COMP-02_GARANTIA_RECLAMACAO_E_DEVOLUCAO_500_PERGUNTAS.md,PR-COMP-02,
PR,PR-COMP-02,Módulos complementares,"Garantia, reclamação e devolução",500,05-questionarios/05-corpus-71500/03-prs/COMP/PR-COMP-02_GARANTIA_RECLAMACAO_E_DEVOLUCAO_500_PERGUNTAS.md,,SM-COMP-02
SUBMODULE,SM-COMP-03,Módulos complementares,Atendimento e SLA,500,05-questionarios/05-corpus-71500/02-submodulos/COMP/SM-COMP-03_ATENDIMENTO_E_SLA_500_PERGUNTAS.md,PR-COMP-03,
PR,PR-COMP-03,Módulos complementares,Atendimento e SLA,500,05-questionarios/05-corpus-71500/03-prs/COMP/PR-COMP-03_ATENDIMENTO_E_SLA_500_PERGUNTAS.md,,SM-COMP-03
SUBMODULE,SM-COMP-04,Módulos complementares,"Ativos, manutenção, RH e jurídico",500,05-questionarios/05-corpus-71500/02-submodulos/COMP/SM-COMP-04_ATIVOS_MANUTENCAO_RH_E_JURIDICO_500_PERGUNTAS.md,PR-COMP-04,
PR,PR-COMP-04,Módulos complementares,"Ativos, manutenção, RH e jurídico",500,05-questionarios/05-corpus-71500/03-prs/COMP/PR-COMP-04_ATIVOS_MANUTENCAO_RH_E_JURIDICO_500_PERGUNTAS.md,,SM-COMP-04
SUBMODULE,SM-COMP-05,Módulos complementares,"BI, KPIs e compliance",500,05-questionarios/05-corpus-71500/02-submodulos/COMP/SM-COMP-05_BI_KPIS_E_COMPLIANCE_500_PERGUNTAS.md,PR-COMP-05,
PR,PR-COMP-05,Módulos complementares,"BI, KPIs e compliance",500,05-questionarios/05-corpus-71500/03-prs/COMP/PR-COMP-05_BI_KPIS_E_COMPLIANCE_500_PERGUNTAS.md,,SM-COMP-05
SUBMODULE,SM-QA-01,"Testes, migração e implantação",Arquitetura de testes e quality gates,500,05-questionarios/05-corpus-71500/02-submodulos/QA/SM-QA-01_ARQUITETURA_DE_TESTES_E_QUALITY_GATES_500_PERGUNTAS.md,PR-QA-01,
PR,PR-QA-01,"Testes, migração e implantação",Arquitetura de testes e quality gates,500,05-questionarios/05-corpus-71500/03-prs/QA/PR-QA-01_ARQUITETURA_DE_TESTES_E_QUALITY_GATES_500_PERGUNTAS.md,,SM-QA-01
SUBMODULE,SM-QA-02,"Testes, migração e implantação",Migração e reconciliação,500,05-questionarios/05-corpus-71500/02-submodulos/QA/SM-QA-02_MIGRACAO_E_RECONCILIACAO_500_PERGUNTAS.md,PR-QA-02,
PR,PR-QA-02,"Testes, migração e implantação",Migração e reconciliação,500,05-questionarios/05-corpus-71500/03-prs/QA/PR-QA-02_MIGRACAO_E_RECONCILIACAO_500_PERGUNTAS.md,,SM-QA-02
SUBMODULE,SM-QA-03,"Testes, migração e implantação","Release, cutover e rollback",500,05-questionarios/05-corpus-71500/02-submodulos/QA/SM-QA-03_RELEASE_CUTOVER_E_ROLLBACK_500_PERGUNTAS.md,PR-QA-03,
PR,PR-QA-03,"Testes, migração e implantação","Release, cutover e rollback",500,05-questionarios/05-corpus-71500/03-prs/QA/PR-QA-03_RELEASE_CUTOVER_E_ROLLBACK_500_PERGUNTAS.md,,SM-QA-03
SUBMODULE,SM-QA-04,"Testes, migração e implantação","Carga, segurança, offline e DR",500,05-questionarios/05-corpus-71500/02-submodulos/QA/SM-QA-04_CARGA_SEGURANCA_OFFLINE_E_DR_500_PERGUNTAS.md,PR-QA-04,
PR,PR-QA-04,"Testes, migração e implantação","Carga, segurança, offline e DR",500,05-questionarios/05-corpus-71500/03-prs/QA/PR-QA-04_CARGA_SEGURANCA_OFFLINE_E_DR_500_PERGUNTAS.md,,SM-QA-04
SUBMODULE,SM-QA-05,"Testes, migração e implantação","Hypercare, treinamento e incidentes",500,05-questionarios/05-corpus-71500/02-submodulos/QA/SM-QA-05_HYPERCARE_TREINAMENTO_E_INCIDENTES_500_PERGUNTAS.md,PR-QA-05,
PR,PR-QA-05,"Testes, migração e implantação","Hypercare, treinamento e incidentes",500,05-questionarios/05-corpus-71500/03-prs/QA/PR-QA-05_HYPERCARE_TREINAMENTO_E_INCIDENTES_500_PERGUNTAS.md,,SM-QA-05
